T(K),B(Oe),B(T),Cp(mu J/K)
2.50663,1999.775,0.1999775,1.0108529
2.5084368,1999.775,0.1999775,0.3801664
2.5103094,1999.775,0.1999775,-0.33339721
2.5117613,1999.775,0.1999775,-0.87931982
2.5130881,1999.775,0.1999775,-1.8946404
0.71033627,3999.659,0.3999659,16.764806
0.75735769,3999.659,0.3999659,18.741911
0.79893143,3999.659,0.3999659,20.519026
0.83652561,3999.659,0.3999659,22.272884
0.87084078,3999.659,0.3999659,24.024799
0.90229025,3999.659,0.3999659,25.798952
0.93130594,3999.659,0.3999659,27.655482
0.95812378,3999.659,0.3999659,29.539647
0.98300403,3999.659,0.3999659,31.48808
1.0060293,3999.659,0.3999659,33.652289
1.0273753,3999.659,0.3999659,35.949107
1.0471268,3999.659,0.3999659,38.592269
1.0652841,3999.659,0.3999659,41.774856
1.0818273,3999.659,0.3999659,45.685254
1.0966732,3999.659,0.3999659,50.69501
1.1105686,3999.659,0.3999659,54.930086
1.1240535,3999.659,0.3999659,55.7088
1.1375229,3999.659,0.3999659,53.094786
1.1512746,3999.659,0.3999659,49.012219
1.1655184,3999.659,0.3999659,45.532911
1.1805998,3999.659,0.3999659,44.034237
1.1960987,3999.659,0.3999659,43.647373
1.2115762,3999.659,0.3999659,43.682962
1.2268868,3999.659,0.3999659,43.851989
1.2418003,3999.659,0.3999659,44.521385
1.2563593,3999.659,0.3999659,45.659367
1.2709228,3999.659,0.3999659,45.812023
1.2861502,3999.659,0.3999659,43.276614
1.302209,3999.659,0.3999659,39.359244
1.3193309,3999.659,0.3999659,35.07466
1.3378882,3999.659,0.3999659,31.589804
1.3580261,3999.659,0.3999659,29.259576
1.379342,3999.659,0.3999659,27.893667
1.4012261,3999.659,0.3999659,26.796581
1.4237378,3999.659,0.3999659,25.87171
1.4465977,3999.659,0.3999659,25.156522
1.4697985,3999.659,0.3999659,24.430197
1.4932583,3999.659,0.3999659,23.640729
1.5170226,3999.659,0.3999659,22.900916
1.5409035,3999.659,0.3999659,22.381492
1.5649407,3999.659,0.3999659,21.781916
1.5891754,3999.659,0.3999659,21.274677
1.6134128,3999.659,0.3999659,20.804178
1.637447,3999.659,0.3999659,20.457248
1.6616323,3999.659,0.3999659,19.883932
1.6858045,3999.659,0.3999659,19.506284
1.7097683,3999.659,0.3999659,19.127602
1.7335073,3999.659,0.3999659,18.775086
1.7572677,3999.659,0.3999659,18.298378
1.780783,3999.659,0.3999659,18.157614
1.8038512,3999.659,0.3999659,17.833062
1.8268157,3999.659,0.3999659,17.470331
1.8493079,3999.659,0.3999659,17.29797
1.8714881,3999.659,0.3999659,17.175841
1.8932179,3999.659,0.3999659,16.801444
1.9147994,3999.659,0.3999659,16.546301
1.9359823,3999.659,0.3999659,16.27497
1.9568444,3999.659,0.3999659,15.778524
1.9774329,3999.659,0.3999659,15.529472
1.9976342,3999.659,0.3999659,15.372891
2.0173259,3999.659,0.3999659,15.201417
2.0367835,3999.659,0.3999659,14.900689
2.0555896,3999.659,0.3999659,14.834711
2.0736347,3999.659,0.3999659,14.73279
2.0914326,3999.659,0.3999659,14.547207
2.1086756,3999.659,0.3999659,14.459139
2.1253296,3999.659,0.3999659,14.454418
2.1413376,3999.659,0.3999659,14.135707
2.1571746,3999.659,0.3999659,13.843007
2.1727135,3999.659,0.3999659,13.625941
2.1872525,3999.659,0.3999659,13.616529
2.2017645,3999.659,0.3999659,13.297156
2.2158898,3999.659,0.3999659,13.151667
2.229111,3999.659,0.3999659,13.357116
2.2422506,3999.659,0.3999659,12.902887
2.2545871,3999.659,0.3999659,12.68628
2.2671178,3999.659,0.3999659,12.586032
2.2787882,3999.659,0.3999659,12.259171
2.2899516,3999.659,0.3999659,12.057813
2.3011211,3999.659,0.3999659,12.276883
2.3113986,3999.659,0.3999659,11.985228
2.3215195,3999.659,0.3999659,12.08469
2.3310692,3999.659,0.3999659,11.745466
2.3401487,3999.659,0.3999659,11.645436
2.3492154,3999.659,0.3999659,11.321427
2.3577564,3999.659,0.3999659,11.161102
2.3658617,3999.659,0.3999659,11.098642
2.3736335,3999.659,0.3999659,11.13674
2.3808669,3999.659,0.3999659,11.18163
2.3883126,3999.659,0.3999659,10.823583
2.3950231,3999.659,0.3999659,10.390719
2.4015439,3999.659,0.3999659,10.102476
2.4079847,3999.659,0.3999659,9.7399995
