T,Field,Field,C\-(p) (J\f:m(�)mole\+(-1)\f:m(�)K\+(-1))
1.02506,9999.837,0.9999837,9371.4952
1.04996,9999.837,0.9999837,9302.0292
1.07486,9999.837,0.9999837,9243.5144
1.09976,9999.837,0.9999837,9357.3346
1.12466,9999.837,0.9999837,9740.5855
1.14956,9999.837,0.9999837,10351.431
1.17446,9999.837,0.9999837,10887.804
1.19936,9999.837,0.9999837,11292.07
1.22425,9999.837,0.9999837,10577.168
1.24915,9999.837,0.9999837,10467.556
1.27405,9999.837,0.9999837,10589.643
1.29895,9999.837,0.9999837,10908.023
1.32385,9999.837,0.9999837,11463.839
1.34875,9999.837,0.9999837,9930.5689
1.37365,9999.837,0.9999837,7650.3469
1.39855,9999.837,0.9999837,6404.8558
1.42344,9999.837,0.9999837,5679.3574
1.44834,9999.837,0.9999837,5195.2761
1.47324,9999.837,0.9999837,4822.3682
1.49814,9999.837,0.9999837,4517.2775
1.52304,9999.837,0.9999837,4271.717
1.54794,9999.837,0.9999837,4057.1239
1.57284,9999.837,0.9999837,3859.5329
1.59773,9999.837,0.9999837,3687.3098
0.65179,10998.297,1.0998297,5746.3407
0.69024,10998.297,1.0998297,6319.1589
0.72868,10998.297,1.0998297,6805.0809
0.76713,10998.297,1.0998297,6895.6225
0.80558,10998.297,1.0998297,6618.7934
0.84403,10998.297,1.0998297,6445.2078
0.88248,10998.297,1.0998297,6527.3869
0.92093,10998.297,1.0998297,6828.5311
0.95938,10998.297,1.0998297,7470.9765
0.99782,10998.297,1.0998297,8282.4669
1.03627,10998.297,1.0998297,8687.9115
1.07472,10998.297,1.0998297,8745.4313
1.11317,10998.297,1.0998297,8870.4316
1.15162,10998.297,1.0998297,9122.1915
1.19007,10998.297,1.0998297,9922.0824
1.22851,10998.297,1.0998297,11473.193
1.26696,10998.297,1.0998297,11566.379
1.30541,10998.297,1.0998297,11288.304
1.34386,10998.297,1.0998297,12032.881
1.38231,10998.297,1.0998297,9305.5862
1.42076,10998.297,1.0998297,6691.96
1.45921,10998.297,1.0998297,5581.6617
1.49765,10998.297,1.0998297,4959.9199
1.5361,10998.297,1.0998297,4514.0594
1.57455,10998.297,1.0998297,4169.7172
1.613,10998.297,1.0998297,3878.6635
1.65145,10998.297,1.0998297,3629.6052
1.6899,10998.297,1.0998297,3411.8808
1.72835,10998.297,1.0998297,3226.9058
1.76679,10998.297,1.0998297,3066.5653
1.80524,10998.297,1.0998297,2914.6033
1.84369,10998.297,1.0998297,2777.6316
1.88214,10998.297,1.0998297,2655.7525
1.92059,10998.297,1.0998297,2540.404
1.95904,10998.297,1.0998297,2434.2906
1.99748,10998.297,1.0998297,2336.9586
2.03593,10998.297,1.0998297,2247.4832
2.07438,10998.297,1.0998297,2161.7842
2.11283,10998.297,1.0998297,2083.0568
2.15128,10998.297,1.0998297,2010.134
0.60309,11998.007,1.1998007,5159.0337
0.62822,11998.007,1.1998007,5678.3207
0.65335,11998.007,1.1998007,6050.2618
0.67849,11998.007,1.1998007,6060.7301
0.70362,11998.007,1.1998007,5783.1498
0.72875,11998.007,1.1998007,5586.0484
0.75388,11998.007,1.1998007,5575.7854
0.77901,11998.007,1.1998007,5663.9259
0.80414,11998.007,1.1998007,5770.2059
0.82928,11998.007,1.1998007,5869.3638
0.85441,11998.007,1.1998007,5953.6634
0.87954,11998.007,1.1998007,6029.5929
0.90467,11998.007,1.1998007,6178.3414
0.9298,11998.007,1.1998007,6450.1961
0.95493,11998.007,1.1998007,6901.4755
0.98006,11998.007,1.1998007,7476.5661
1.0052,11998.007,1.1998007,7976.2482
1.03033,11998.007,1.1998007,8194.8731
1.05546,11998.007,1.1998007,8227.8118
1.08059,11998.007,1.1998007,8289.9237
1.10572,11998.007,1.1998007,8426.9434
1.13085,11998.007,1.1998007,8589.8779
1.15598,11998.007,1.1998007,8773.6133
1.18112,11998.007,1.1998007,8991.021
1.20625,11998.007,1.1998007,9357.8394
1.23138,11998.007,1.1998007,10270.675
1.25651,11998.007,1.1998007,11598.148
1.28164,11998.007,1.1998007,13176.937
1.30677,11998.007,1.1998007,12067.723
1.33191,11998.007,1.1998007,12167.395
1.35704,11998.007,1.1998007,12926.581
1.38217,11998.007,1.1998007,12123.893
1.4073,11998.007,1.1998007,8895.0512
1.43243,11998.007,1.1998007,7160.2046
1.45756,11998.007,1.1998007,6245.0237
1.48269,11998.007,1.1998007,5683.4328
1.50783,11998.007,1.1998007,5252.829
1.53296,11998.007,1.1998007,4929.0633
1.55809,11998.007,1.1998007,4653.0357
1.58322,11998.007,1.1998007,4424.0273
0.58735,12998.293,1.2998293,4512.1474
0.61184,12998.293,1.2998293,4707.4505
0.63633,12998.293,1.2998293,4813.3931
0.66082,12998.293,1.2998293,4889.4626
0.68532,12998.293,1.2998293,4925.7099
0.70981,12998.293,1.2998293,4968.0403
0.7343,12998.293,1.2998293,5027.102
0.75879,12998.293,1.2998293,5116.493
0.78328,12998.293,1.2998293,5232.6821
0.80778,12998.293,1.2998293,5363.8306
0.83227,12998.293,1.2998293,5486.5111
0.85676,12998.293,1.2998293,5600.3919
0.88125,12998.293,1.2998293,5709.1401
0.90574,12998.293,1.2998293,5874.7726
0.93024,12998.293,1.2998293,6144.397
0.95473,12998.293,1.2998293,6543.4918
0.97922,12998.293,1.2998293,7040.5464
1.00371,12998.293,1.2998293,7483.5184
1.0282,12998.293,1.2998293,7729.288
1.0527,12998.293,1.2998293,7813.9666
1.07719,12998.293,1.2998293,7904.1935
1.10168,12998.293,1.2998293,8067.773
1.12617,12998.293,1.2998293,8249.5101
1.15066,12998.293,1.2998293,8437.3715
1.17516,12998.293,1.2998293,8662.8507
1.19965,12998.293,1.2998293,8937.8986
1.22414,12998.293,1.2998293,9296.9179
1.24863,12998.293,1.2998293,9861.2043
1.27312,12998.293,1.2998293,11188.833
1.29762,12998.293,1.2998293,13079.31
1.32211,12998.293,1.2998293,14086.945
1.3466,12998.293,1.2998293,13284.627
1.37109,12998.293,1.2998293,14018.164
1.39558,12998.293,1.2998293,13460.881
1.42008,12998.293,1.2998293,9691.104
1.44457,12998.293,1.2998293,7658.7999
1.46906,12998.293,1.2998293,6637.0926
1.49355,12998.293,1.2998293,6011.786
1.51805,12998.293,1.2998293,5556.9035
1.54254,12998.293,1.2998293,5225.9649
0.57362,13999.829,1.3999829,4039.1391
0.59737,13999.829,1.3999829,4131.9308
0.62112,13999.829,1.3999829,4220.9855
0.64487,13999.829,1.3999829,4315.1652
0.66862,13999.829,1.3999829,4401.949
0.69237,13999.829,1.3999829,4479.3494
0.71613,13999.829,1.3999829,4552.3101
0.73988,13999.829,1.3999829,4642.669
0.76363,13999.829,1.3999829,4757.051
0.78738,13999.829,1.3999829,4892.0595
0.81113,13999.829,1.3999829,5038.0609
0.83488,13999.829,1.3999829,5182.3496
0.85863,13999.829,1.3999829,5319.5506
0.88238,13999.829,1.3999829,5459.5815
0.90613,13999.829,1.3999829,5639.4528
0.92988,13999.829,1.3999829,5893.2642
0.95364,13999.829,1.3999829,6241.639
0.97739,13999.829,1.3999829,6664.4732
1.00114,13999.829,1.3999829,7057.3881
1.02489,13999.829,1.3999829,7327.8289
1.04864,13999.829,1.3999829,7459.8676
1.07239,13999.829,1.3999829,7580.4836
1.09614,13999.829,1.3999829,7751.5083
1.11989,13999.829,1.3999829,7945.8566
1.14364,13999.829,1.3999829,8159.2522
1.16739,13999.829,1.3999829,8389.5408
1.19115,13999.829,1.3999829,8658.4372
1.2149,13999.829,1.3999829,8992.0397
1.23865,13999.829,1.3999829,9378.1117
1.2624,13999.829,1.3999829,9882.0093
1.28615,13999.829,1.3999829,10757.124
1.3099,13999.829,1.3999829,12915.672
1.33365,13999.829,1.3999829,15598.239
1.3574,13999.829,1.3999829,14981.074
1.38115,13999.829,1.3999829,15410.519
1.4049,13999.829,1.3999829,14932.79
1.42866,13999.829,1.3999829,10609.917
1.45241,13999.829,1.3999829,8264.517
1.47616,13999.829,1.3999829,7109.7952
1.49991,13999.829,1.3999829,6424.7073
0.57646,14998.77,1.499877,3558.8831
0.59863,14998.77,1.499877,3653.3557
0.62079,14998.77,1.499877,3745.7221
0.64296,14998.77,1.499877,3866.1475
0.66513,14998.77,1.499877,3989.9144
0.6873,14998.77,1.499877,4089.7107
0.70947,14998.77,1.499877,4183.6887
0.73164,14998.77,1.499877,4283.7495
0.7538,14998.77,1.499877,4400.7888
0.77597,14998.77,1.499877,4536.8081
0.79814,14998.77,1.499877,4683.2268
0.82031,14998.77,1.499877,4837.242
0.84248,14998.77,1.499877,4986.2639
0.86465,14998.77,1.499877,5133.9714
0.88681,14998.77,1.499877,5286.1745
0.90898,14998.77,1.499877,5471.5138
0.93115,14998.77,1.499877,5707.689
0.95332,14998.77,1.499877,6008.8353
0.97549,14998.77,1.499877,6359.1052
0.99766,14998.77,1.499877,6696.0776
1.01982,14998.77,1.499877,6957.9146
1.04199,14998.77,1.499877,7132.2227
1.06416,14998.77,1.499877,7272.968
1.08633,14998.77,1.499877,7435.0626
1.1085,14998.77,1.499877,7641.2856
1.13067,14998.77,1.499877,7856.8875
1.15284,14998.77,1.499877,8089.2354
1.175,14998.77,1.499877,8346.235
1.19717,14998.77,1.499877,8638.1187
1.21934,14998.77,1.499877,8967.2761
1.24151,14998.77,1.499877,9368.0646
1.26368,14998.77,1.499877,9842.9815
1.28585,14998.77,1.499877,10470.05
1.30801,14998.77,1.499877,11496.923
1.33018,14998.77,1.499877,14015.282
1.35235,14998.77,1.499877,17241.407
1.37452,14998.77,1.499877,16870.579
1.39669,14998.77,1.499877,17502.022
1.41886,14998.77,1.499877,14973.371
1.44102,14998.77,1.499877,10604.426
0.50681,15998.912,1.5998912,2402.8234
0.52154,15998.912,1.5998912,2561.0501
0.53627,15998.912,1.5998912,2764.0076
0.551,15998.912,1.5998912,2877.7216
0.56573,15998.912,1.5998912,2958.0773
0.58046,15998.912,1.5998912,3076.7368
0.59519,15998.912,1.5998912,3203.2858
0.60992,15998.912,1.5998912,3340.3625
0.62465,15998.912,1.5998912,3448.1905
0.63938,15998.912,1.5998912,3550.7247
0.65412,15998.912,1.5998912,3646.6526
0.66885,15998.912,1.5998912,3730.5363
0.68358,15998.912,1.5998912,3801.0721
0.69831,15998.912,1.5998912,3858.1966
0.71304,15998.912,1.5998912,3909.3049
0.72777,15998.912,1.5998912,3969.579
0.7425,15998.912,1.5998912,4049.6944
0.75723,15998.912,1.5998912,4150.5845
0.77196,15998.912,1.5998912,4266.1055
0.78669,15998.912,1.5998912,4384.4516
0.80142,15998.912,1.5998912,4497.7054
0.81615,15998.912,1.5998912,4608.8872
0.83088,15998.912,1.5998912,4721.1202
0.84561,15998.912,1.5998912,4830.7511
0.86034,15998.912,1.5998912,4933.8221
0.87507,15998.912,1.5998912,5031.0503
0.8898,15998.912,1.5998912,5143.325
0.90453,15998.912,1.5998912,5263.9616
0.91926,15998.912,1.5998912,5401.5189
0.93399,15998.912,1.5998912,5565.9833
0.94872,15998.912,1.5998912,5747.653
0.96346,15998.912,1.5998912,5954.1467
0.97819,15998.912,1.5998912,6176.9259
0.99292,15998.912,1.5998912,6390.5698
1.00765,15998.912,1.5998912,6573.6141
1.02238,15998.912,1.5998912,6724.6904
1.03711,15998.912,1.5998912,6843.2769
1.05184,15998.912,1.5998912,6955.7633
1.06657,15998.912,1.5998912,7064.0415
1.0813,15998.912,1.5998912,7197.2207
0.62988,16999.246,1.6999246,3258.913
0.65288,16999.246,1.6999246,3401.2148
0.67588,16999.246,1.6999246,3554.3125
0.69888,16999.246,1.6999246,3694.9879
0.72188,16999.246,1.6999246,3839.3314
0.74487,16999.246,1.6999246,3982.3305
0.76787,16999.246,1.6999246,4137.836
0.79087,16999.246,1.6999246,4298.2525
0.81387,16999.246,1.6999246,4469.0514
0.83687,16999.246,1.6999246,4652.5836
0.85987,16999.246,1.6999246,4837.1263
0.88287,16999.246,1.6999246,5026.9771
0.90587,16999.246,1.6999246,5229.2449
0.92887,16999.246,1.6999246,5449.6232
0.95187,16999.246,1.6999246,5695.4215
0.97487,16999.246,1.6999246,5961.6172
0.99787,16999.246,1.6999246,6231.3626
1.02087,16999.246,1.6999246,6480.3501
1.04387,16999.246,1.6999246,6703.62
1.06687,16999.246,1.6999246,6919.6861
1.08986,16999.246,1.6999246,7151.9462
1.11286,16999.246,1.6999246,7414.1534
1.13586,16999.246,1.6999246,7696.2679
1.15886,16999.246,1.6999246,8009.4006
1.18186,16999.246,1.6999246,8353.8838
1.20486,16999.246,1.6999246,8741.1868
1.22786,16999.246,1.6999246,9168.3333
1.25086,16999.246,1.6999246,9688.087
1.27386,16999.246,1.6999246,10339.366
1.29686,16999.246,1.6999246,11081.075
1.31986,16999.246,1.6999246,12181.448
1.34286,16999.246,1.6999246,14345.479
1.36586,16999.246,1.6999246,18996.271
1.38886,16999.246,1.6999246,22017.153
1.41186,16999.246,1.6999246,21269.22
1.43485,16999.246,1.6999246,13988.74
1.45785,16999.246,1.6999246,10191.876
1.48085,16999.246,1.6999246,8660.4941
1.50385,16999.246,1.6999246,7828.2039
1.52685,16999.246,1.6999246,7274.3129
0.6409,17998.957,1.7998957,3187.4953
0.66342,17998.957,1.7998957,3338.7325
0.68595,17998.957,1.7998957,3500.4639
0.70847,17998.957,1.7998957,3645.0717
0.731,17998.957,1.7998957,3788.7758
0.75352,17998.957,1.7998957,3939.0605
0.77605,17998.957,1.7998957,4097.3087
0.79857,17998.957,1.7998957,4261.9969
0.82109,17998.957,1.7998957,4438.6742
0.84362,17998.957,1.7998957,4623.6103
0.86614,17998.957,1.7998957,4814.3527
0.88867,17998.957,1.7998957,5012.281
0.91119,17998.957,1.7998957,5214.2057
0.93371,17998.957,1.7998957,5421.8617
0.95624,17998.957,1.7998957,5636.8601
0.97876,17998.957,1.7998957,5863.2274
1.00129,17998.957,1.7998957,6093.1316
1.02381,17998.957,1.7998957,6323.0316
1.04634,17998.957,1.7998957,6560.1461
1.06886,17998.957,1.7998957,6802.4332
1.09138,17998.957,1.7998957,7062.228
1.11391,17998.957,1.7998957,7344.8692
1.13643,17998.957,1.7998957,7646.0192
1.15896,17998.957,1.7998957,7980.955
1.18148,17998.957,1.7998957,8351.5806
1.204,17998.957,1.7998957,8768.2912
1.22653,17998.957,1.7998957,9242.0589
1.24905,17998.957,1.7998957,9787.1186
1.27158,17998.957,1.7998957,10460.576
1.2941,17998.957,1.7998957,11302.621
1.31663,17998.957,1.7998957,12378.083
1.33915,17998.957,1.7998957,14176.655
1.36167,17998.957,1.7998957,18422.332
1.3842,17998.957,1.7998957,25135.719
1.40672,17998.957,1.7998957,23923.522
1.42925,17998.957,1.7998957,15830.32
1.45177,17998.957,1.7998957,11231.441
1.47429,17998.957,1.7998957,9379.961
1.49682,17998.957,1.7998957,8425.292
1.51934,17998.957,1.7998957,7803.3061
0.67423,19998.52,1.999852,3290.6699
